date,open,high,low,close,volume
2026-05-04,1339000,1450000,1333000,1447000,5776641
2026-05-06,1590000,1614000,1557000,1601000,6631934
2026-05-07,1622000,1665000,1567000,1654000,5860618
2026-05-08,1591000,1689000,1591000,1686000,4278087
2026-05-11,1833000,1949000,1826000,1880000,7433039
2026-05-12,1944000,1967000,1804000,1835000,9160593
2026-05-13,1781000,1990000,1781000,1976000,7126921
2026-05-14,1976000,1994000,1937000,1970000,6040068
2026-05-15,1950000,1995000,1789000,1819000,7485233
2026-05-18,1780000,1897000,1731000,1840000,6481608
2026-05-19,1791000,1823000,1740000,1745000,4575855
2026-05-20,1743000,1778000,1690000,1745000,5535123
2026-05-21,1801000,1954000,1796000,1940000,5096690
2026-05-22,1942000,1952000,1912000,1941000,3135190
2026-05-26,2008000,2087000,2006000,2052000,4903591
2026-05-27,2279000,2358000,2200000,2243000,7545783
2026-05-28,2189000,2305000,2151000,2289000,6229499
2026-05-29,2352000,2379000,2290500,2333000,8518013
2026-06-01,2299000,2398000,2296000,2363000,5602897
2026-06-02,2376000,2407000,2259000,2360000,5837216
2026-06-04,2284000,2327000,2262000,2298000,3941067
2026-06-05,2142000,2188000,2070000,2070000,5778751
2026-06-08,1856000,2072000,1855000,1911000,6610833
2026-06-09,2050000,2226000,1998000,2215000,5878039
2026-06-10,2137000,2180000,1992000,2048000,4928269
2026-06-11,1975000,2163000,1960000,2101000,6625775
2026-06-12,2281000,2304000,2150000,2150000,5286416
2026-06-15,2283000,2322000,2265000,2288000,3872910
2026-06-16,2381000,2400000,2286000,2382000,3644469
2026-06-17,2335000,2523000,2334000,2521000,3980010
2026-06-18,2556000,2738000,2556000,2685000,5808765
2026-06-19,2824000,2891000,2688000,2764000,7478195
2026-06-22,2728000,2945000,2728000,2919000,5179795
2026-06-23,2898000,2943000,2536000,2555000,8050335
2026-06-24,2598000,2703000,2453000,2580000,7487916
2026-06-25,2865000,2987000,2749000,2917000,6790853
2026-06-26,2850000,2880000,2600000,2673000,7467492
2026-06-29,2636000,2688000,2517000,2628000,5217788
2026-06-30,2608000,2742000,2541000,2650000,5109213
2026-07-01,2665000,2723000,2502000,2560000,4277276
2026-07-02,2351000,2448000,2187000,2187000,7685914
2026-07-03,2197000,2454000,2045000,2425000,7984914
2026-07-06,2450000,2497000,2292000,2343000,4235360
2026-07-07,2289000,2343000,2080000,2201000,6351195
2026-07-08,2118000,2329000,2076000,2076000,6975631
2026-07-09,2228000,2270000,2091000,2186000,6261504
2026-07-10,2296000,2305000,2166000,2180000,4827239
2026-07-13,2113000,2142000,1839000,1845000,8040043
2026-07-14,1825000,1936000,1678000,1913000,10447011
2026-07-15,2120000,2171000,2070000,2082000,6046951
2026-07-16,1902000,1919000,1821000,1842000,5608812
2026-07-20,1745000,1892000,1735000,1764000,5876444
2026-07-21,1775000,1889000,1732000,1836000,4639208
2026-07-22,1977000,2006000,1830000,1830000,4802637
2026-07-23,1910000,1948000,1845000,1919000,4119477
2026-07-24,1894000,1894000,1752000,1759000,4935624
2026-07-27,1814000,1821000,1707000,1816000,4030933
2026-07-28,1662000,1674000,1550000,1550000,8120587
2026-07-29,1567000,1619000,1246000,1401000,12428883
2026-07-30,1361000,1459000,1287000,1322000,9543189
2026-07-31,1697000,1718000,1586000,1718000,10499619
2026-08-03,1642000,1645000,1562000,1567000,5432833
2026-08-04,1620000,1630000,1483000,1577000,5391210
2026-08-05,1693000,1701000,1647000,1668000,3945674
2026-08-06,1600000,1606000,1481000,1495000,5498295
2026-08-07,1521000,1542000,1409000,1422000,5002539
2026-08-10,1443000,1487000,1397000,1420000,3295283
2026-08-11,1405000,1455000,1373000,1425000,3817655
2026-08-12,1456000,1549000,1440000,1504000,4566672
2026-08-13,1582000,1634000,1567000,1593000,4680347
2026-08-14,1695000,1697000,1626000,1645000,4520990
2026-08-18,1736000,1792000,1640000,1662000,5139000
2026-08-19,1545000,1559000,1486000,1500000,4223067
2026-08-20,1613000,1720000,1576000,1691000,5452970
2026-08-21,1675000,1773000,1669000,1730000,4274294
2026-08-24,1775000,1792000,1670000,1671000,3994599
2026-08-25,1598000,1687000,1557000,1678000,4029660
2026-08-26,1668000,1735000,1662000,1688000,2923810
2026-08-27,1776000,1788000,1708000,1730000,3264042
2026-08-28,1704000,1725000,1653000,1653000,3531892
2026-08-31,1596000,1674000,1577000,1674000,3980661
2026-09-01,1666000,1713000,1652000,1693000,2727724
2026-09-02,1630000,1661000,1612000,1613000,2533913
