date,open,high,low,close,volume
2026-03-03,1022000,1040000,939000,939000,6818327
2026-03-04,894000,954000,846000,849000,9253420
2026-03-05,976000,992000,927000,941000,6442459
2026-03-06,912000,938000,885000,924000,3744322
2026-03-09,851000,864000,808000,836000,7253621
2026-03-10,915000,950000,899000,938000,5304897
2026-03-11,954000,985000,941000,955000,3916098
2026-03-12,938000,963000,928000,930000,3711742
2026-03-13,891000,929000,884000,910000,3645102
2026-03-16,925000,975000,924000,974000,3829496
2026-03-17,1009000,1010000,969000,970000,3326240
2026-03-18,1000000,1060000,999000,1056000,4347884
2026-03-19,1008000,1043000,1003000,1013000,3347483
2026-03-20,1023000,1026000,1002000,1007000,3426646
2026-03-23,952000,963000,927000,933000,3911813
2026-03-24,993000,994000,938000,986000,4352152
2026-03-25,1016000,1042000,988000,995000,4463869
2026-03-26,965000,973000,931000,933000,4660620
2026-03-27,890000,934000,880000,922000,4520942
2026-03-30,867000,884000,862000,873000,4498502
2026-03-31,817000,852000,806000,807000,7194351
2026-04-01,884000,905000,858000,893000,6255058
2026-04-02,912000,914000,818000,830000,6127534
2026-04-03,867000,886000,860000,876000,2927164
2026-04-06,877000,901500,869000,886000,3100989
2026-04-07,917000,933000,888000,916000,3619929
2026-04-08,1007000,1056000,992000,1033000,6709356
2026-04-09,1015000,1025000,990000,998000,5026817
2026-04-10,1030000,1042000,1024000,1027000,3134921
2026-04-13,999000,1043000,996000,1040000,2769753
2026-04-14,1092000,1128000,1078000,1103000,4754545
2026-04-15,1165000,1173000,1130000,1136000,4093703
2026-04-16,1141000,1161000,1130000,1155000,2901319
2026-04-17,1149000,1155000,1121000,1128000,3578235
2026-04-20,1148000,1175000,1141000,1166000,3748014
2026-04-21,1196000,1228000,1193000,1224000,3516960
2026-04-22,1227000,1233000,1195000,1223000,2894919
2026-04-23,1220000,1267000,1183000,1225000,5343871
2026-04-24,1237000,1242000,1193000,1222000,3127857
2026-04-27,1253000,1317000,1249000,1292000,4563073
2026-04-28,1313000,1328000,1296000,1300000,3002713
2026-04-29,1284000,1317000,1281000,1293000,3001208
2026-04-30,1312000,1325000,1286000,1286000,3342342
